Country,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,Area (km²),2022PopDensity,2020PopDensity,2015PopDensity,2010PopDensity,2000PopDensity,1990PopDensity,1980PopDensity,1970PopDensity
Burkina Faso,22673762,21522626,18718019,16116845,11882888,9131361,6932967,5611666,272967,83.06411398,78.84698883,68.57246114,59.04319936,43.53232442,33.45225247,25.39855367,20.55803815
Burundi,12889576,12220227,10727148,9126605,6307659,5483793,4312834,3497834,27834,463.087447,439.0395559,385.3972839,327.8941223,226.6170511,197.017784,154.9484084,125.6676726
Cambodia,16767842,16396860,15417523,14363532,12118841,8910808,6198959,6708525,181035,92.6221007,90.57287265,85.16321706,79.34118817,66.94197807,49.22146546,34.24177093,37.05650841
Cameroon,27914536,26491087,23012646,19878036,15091594,11430520,8519891,6452787,475442,58.7128104,55.71886161,48.40263586,41.80959192,31.74223985,24.04188103,17.91993766,13.57218546
Canada,38454327,37888705,35732126,33963412,30683313,27657204,24511510,21434577,9984670,3.851336799,3.794687756,3.578698745,3.401555785,3.073042274,2.769966759,2.454914384,2.146748666
Cape Verde,593149,582640,552166,521212,458251,364563,317234,287262,4033,147.0738904,144.4681379,136.9119762,129.2367964,113.6253409,90.39499132,78.65955864,71.22787007
Cayman Islands,68706,67311,60911,54074,39658,26027,17100,10533,264,260.25,254.9659091,230.7234848,204.8257576,150.219697,98.58712121,64.77272727,39.89772727
Central African Republic,5579144,5343020,4819333,4660067,3759170,2809221,2415276,2067356,622984,8.955517317,8.576496347,7.735885673,7.480235447,6.034135708,4.509298794,3.876947081,3.318473669
Chad,17723315,16644701,14140274,11894727,8259137,5827069,4408230,3667394,1284000,13.80320483,12.96316277,11.01267445,9.263806075,6.432349688,4.538215732,3.433200935,2.856225857
Chile,19603733,19300315,17870124,17004162,15351799,13342868,11469828,9820481,756102,25.92736562,25.5260732,23.63454137,22.48924351,20.30387302,17.64691536,15.16968346,12.98830184
China,1425887337,1424929781,1393715448,1348191368,1264099069,1153704252,982372466,822534450,9706961,146.8932797,146.7946334,143.5789685,138.88913,130.2260377,118.8532901,101.2028858,84.73655658
Colombia,51874024,50930662,47119728,44816108,39215135,32601393,26176195,20905254,1141748,45.43386457,44.60762095,41.26981435,39.25218875,34.34657648,28.55393046,22.92642072,18.30986698
Comoros,836774,806166,730216,656024,536758,431119,328328,242351,1862,449.3952739,432.9570354,392.1675618,352.3222342,288.2696026,231.5354458,176.3308271,130.1562836
Cook Islands,17011,17029,17695,17212,15897,17123,17651,20470,236,72.08050847,72.15677966,74.97881356,72.93220339,67.36016949,72.55508475,74.79237288,86.73728814
Costa Rica,5180829,5123105,4895242,4622252,3979193,3158253,2414303,1855697,51100,101.3860861,100.2564579,95.79729941,90.45502935,77.8707045,61.80534247,47.24663405,36.31500978
Croatia,4030358,4096868,4254815,4368682,4548434,4873707,4680144,4492638,56594,71.21528784,72.39050076,75.18137965,77.19337739,80.36954447,86.11702654,82.69682298,79.38364491
Cuba,11212191,11300698,11339894,11290417,11105791,10626680,9809107,8869636,109884,102.0366113,102.8420698,103.1987733,102.7485075,101.0683175,96.70816497,89.26783699,80.71817553
