Country,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,Area (km²),2022PopDensity,2020PopDensity,2015PopDensity,2010PopDensity,2000PopDensity,1990PopDensity,1980PopDensity,1970PopDensity
Oman,4576298,4543399,4191776,2881914,2344253,1804524,1017462,670693,309500,14.78610016,14.67980291,13.54370275,9.311515347,7.574323102,5.830449111,3.287437803,2.167021002
Pakistan,235824862,227196741,210969298,194454498,154369924,115414069,80624057,59290872,881912,267.4018065,257.6183803,239.218083,220.4919516,175.0400539,130.8680106,91.4196167,67.22991863
Palau,18055,17972,17794,18540,19726,15293,12252,11366,459,39.33551198,39.1546841,38.76688453,40.39215686,42.97603486,33.31808279,26.69281046,24.76252723
Palestine,5250072,5019401,4484614,3992278,3139954,2124609,1453620,1118241,6220,844.0630225,806.9776527,720.9990354,641.8453376,504.8157556,341.5770096,233.7009646,179.7815113
Panama,4408581,4294396,3957099,3623617,3001731,2449968,1956987,1516188,75417,58.45606428,56.94201573,52.46958908,48.04774786,39.80178209,32.48561995,25.9488842,20.10406142
Papua New Guinea,10142619,9749640,8682174,7583269,5508297,3864972,3104788,2489059,462840,21.91387737,21.06481722,18.75847809,16.38421269,11.90108245,8.350557428,6.708123758,5.377795783
Paraguay,6780744,6618695,6177950,5768613,5123819,4059195,3078912,2408787,406752,16.67046259,16.27206504,15.18849323,14.18213801,12.59691163,9.979532983,7.569506726,5.922004071
Peru,34049588,33304756,30711863,29229572,26654439,22109099,17492406,13562371,1285216,26.49328051,25.91374213,23.89626569,22.7429257,20.73926795,17.20263286,13.61047948,10.5526005
Philippines,115559009,112190977,103031365,94636700,77958223,61558898,48419546,37435586,342353,337.5434391,327.7055466,300.9506708,276.4301759,227.7129834,179.8111832,141.4316393,109.3479128
Poland,39857145,38428366,38553146,38597353,38504431,38064255,35521429,32482943,312679,127.4698493,122.9003739,123.2994413,123.4408227,123.1436425,121.7358857,113.6035007,103.8859117
Portugal,10270865,10298192,10365435,10588401,10300626,10007346,9785252,8683631,92090,111.5307308,111.8274731,112.557661,114.9788359,111.8539038,108.6691932,106.2574872,94.29504832
Puerto Rico,3252407,3271564,3497335,3717922,3827108,3543776,3214568,2737619,8870,366.6749718,368.8347238,394.2880496,419.1569335,431.4665163,399.523788,362.4090192,308.6379932
Qatar,2695122,2760385,2414573,1713504,645937,441675,277450,118007,11586,232.6188503,238.2517694,208.4043673,147.8943553,55.75151044,38.12143967,23.94700501,10.18530986
Republic of the Congo,5970424,5702174,5064386,4437884,3134030,2385435,1829256,1396989,342000,17.45738012,16.67302339,14.8081462,12.97626901,9.163830409,6.97495614,5.348701754,4.084763158
Reunion,974052,957822,922495,890130,785424,658992,551674,473925,2511,387.9139785,381.4504182,367.3815213,354.4922342,312.7933094,262.442055,219.7029072,188.739546
Romania,19659267,19442038,19906079,20335211,21919876,22836234,22125224,19922618,238391,82.46648154,81.55525167,83.50180586,85.30192415,91.94925983,95.7931885,92.81065141,83.57118348
Russia,144713314,145617329,144668389,143242599,146844839,148005704,138257420,130093010,17098242,8.463637022,8.516508832,8.461009559,8.377621454,8.588300423,8.656194245,8.086060544,7.608560576
Rwanda,13776698,13146362,11642959,10309031,8109989,7319962,5247532,3896367,26338,523.0730503,499.1404814,442.0593439,391.4128256,307.9196978,277.9239882,199.2380591,147.9370871
Saint Barthelemy,10967,10681,9643,8988,7082,5168,2983,2417,21,522.2380952,508.6190476,459.1904762,428,337.2380952,246.0952381,142.047619,115.0952381
Saint Kitts and Nevis,47657,47642,47790,47403,45461,40636,43097,44968,261,182.5938697,182.5363985,183.1034483,181.6206897,174.1800766,155.6934866,165.1226054,172.2911877
Saint Lucia,179857,179237,175623,170935,159500,142301,121633,103090,616,291.9756494,290.9691558,285.1022727,277.4918831,258.9285714,231.0081169,197.4561688,167.3538961
Saint Martin,31791,32552,35020,36458,29610,28127,7776,5802,53,599.8301887,614.1886792,660.754717,687.8867925,558.6792453,530.6981132,146.7169811,109.4716981
Saint Pierre and Miquelon,5862,5906,5978,6052,6274,6324,6106,5537,242,24.2231405,24.40495868,24.70247934,25.00826446,25.92561983,26.1322314,25.23140496,22.88016529
Saint Vincent and the Grenadines,103948,104632,106482,109308,113813,112487,107480,98459,389,267.218509,268.9768638,273.7326478,280.9974293,292.5784062,289.1696658,276.2982005,253.1079692
Samoa,222382,214929,203571,194672,184008,168186,164905,142771,2842,78.24841661,75.62596763,71.62948628,68.49824068,64.74595355,59.17874736,58.02427868,50.23610134
San Marino,33660,34007,33570,31608,26823,23132,21346,18169,61,551.8032787,557.4918033,550.3278689,518.1639344,439.7213115,379.2131148,349.9344262,297.852459
Sao Tome and Principe,227380,218641,201124,182138,143714,120343,97210,77583,964,235.8713693,226.8060166,208.6348548,188.939834,149.0809129,124.8371369,100.840249,80.48029046
Saudi Arabia,36408820,35997107,32749848,29411929,21547390,16004763,10171710,6106191,2149690,16.93677693,16.7452549,15.23468407,13.68193972,10.02348711,7.445149301,4.731710154,2.840498397
Senegal,17316449,16436119,14356181,12530121,9704287,7536001,5703869,4367744,196722,88.02497433,83.54997916,72.976998,63.69455882,49.32995293,38.30787101,28.99456594,22.20262096
Serbia,7221365,7358005,7519496,7653748,7935022,7987529,7777010,7193533,88361,81.72570478,83.27208836,85.09971594,86.61907403,89.80231097,90.39654372,88.01405597,81.41072419
Seychelles,107118,105530,99240,92409,80060,71057,65290,54379,452,236.9867257,233.4734513,219.5575221,204.4446903,177.1238938,157.2057522,144.4469027,120.3075221
Sierra Leone,8605718,8233969,7314773,6436698,4584067,4325388,3367477,2778557,71740,119.9570393,114.7751464,101.9622665,89.72258154,63.89834123,60.29255645,46.94001951,38.73093114
Singapore,5975689,5909869,5650018,5163590,4053602,3022209,2400729,2061831,710,8416.46338,8323.759155,7957.771831,7272.661972,5709.298592,4256.632394,3381.308451,2903.987324
Sint Maarten,44175,43621,40205,33034,30489,27845,12243,6260,34,1299.264706,1282.970588,1182.5,971.5882353,896.7352941,818.9705882,360.0882353,184.1176471
Slovakia,5643453,5456681,5424444,5396424,5376690,5261305,4973883,4522867,49037,115.0856088,111.2768114,110.6194098,110.0480046,109.6455738,107.2925546,101.4312254,92.23376226
Slovenia,2119844,2117641,2080862,2057286,1984339,1986024,1901570,1741286,20273,104.5648893,104.4562226,102.6420362,101.4791101,97.88087604,97.96399152,93.79815518,85.89187589
Solomon Islands,724273,691191,612660,540394,429978,324171,233668,172833,28896,25.06481866,23.91995432,21.20224252,18.70134275,14.88019103,11.21854236,8.086517165,5.981208472
Somalia,17597511,16537016,13763906,12026649,8721465,6999096,5892224,3720977,637657,27.59714235,25.93403036,21.58512492,18.86068686,13.67736103,10.97627094,9.240428632,5.835389559
South Africa,59893885,58801927,55876504,51784921,46813266,39877570,29463549,22368306,1221037,49.05165445,48.15736706,45.76151583,42.41060754,38.33894141,32.65877283,24.12993955,18.31910581
South Korea,51815810,51844690,50994401,48813042,46788591,44120039,38170501,32601143,100210,517.0722483,517.3604431,508.8753717,487.1074943,466.9054086,440.2758108,380.9051093,325.3282407
South Sudan,10913164,10606227,11194299,9714419,6114440,4750817,4192011,3342410,619745,17.60911988,17.11385651,18.06275,15.67486466,9.866057814,7.665760918,6.764090069,5.393202043
Spain,47558630,47363807,46431342,46572772,40741651,38889889,37491666,33792617,505992,93.99087337,93.60584159,91.76299625,92.0425066,80.51836986,76.8587033,74.09537305,66.78488395
Sri Lanka,21832143,21715079,21336697,20668557,18776371,17204094,14943645,12388769,65610,332.7563329,330.9720927,325.2049535,315.0214449,286.1815424,262.2175583,227.7647462,188.8244018
Sudan,46874204,44440486,38171178,33739933,26298773,21090886,16673586,11305206,1886068,24.85287063,23.56250464,20.23849511,17.88903316,13.94370351,11.1824632,8.840394938,5.99406066
Suriname,618040,607065,575475,546080,478998,412756,375112,379918,163820,3.772677329,3.705683067,3.512849469,3.333414723,2.923928702,2.51957026,2.289781467,2.319118545
Sweden,10549347,10368969,9849349,9381729,8871043,8548406,8311763,8027702,450295,23.42763522,23.02705782,21.87310319,20.83462841,19.70051411,18.9840127,18.45848388,17.82765076
Switzerland,8740472,8638613,8281732,7822435,7182059,6711693,6319113,6181227,41284,211.7157252,209.2484498,200.6039143,189.4786116,173.9671301,162.5737089,153.064456,149.724518
Syria,22125249,20772595,19205178,22337563,16307654,12408996,8898954,6319199,185180,119.47969,112.1751539,103.7108651,120.6262177,88.06379739,67.01045469,48.05569716,34.12463009
Taiwan,23893394,23821464,23512136,23083083,22194731,20586174,18100281,14957870,36193,660.1661647,658.1787638,649.6321388,637.7775537,613.2326969,568.7888266,500.1044677,413.2807449
Tajikistan,9952787,9543207,8524063,7621779,6272998,5417860,4045965,2993019,143100,69.55127184,66.68907757,59.5671768,53.26190776,43.83646401,37.86065688,28.27368973,20.91557652
Tanzania,65497748,61704518,52542823,45110527,34463704,26206012,19297659,13618192,945087,69.30340593,65.28977544,55.59575256,47.73161307,36.46617084,27.72867683,20.41892334,14.4094586
Thailand,71697030,71475664,70294397,68270489,63066603,55228410,45737753,35791728,513120,139.7276076,139.2961958,136.9940696,133.0497525,122.9080975,107.6325421,89.1365626,69.75313377
Timor-Leste,1341296,1299995,1205813,1088486,878360,758106,642224,554021,14874,90.177222,87.40049751,81.06850881,73.18044911,59.05338174,50.9685357,43.17762539,37.24761328
Togo,8848699,8442580,7473229,6571855,5008035,3875947,2838110,2197383,56785,155.828106,148.6762349,131.6056881,115.7322356,88.19292067,68.25652901,49.97992428,38.69653958
Tokelau,1871,1827,1454,1367,1666,1669,1647,1714,12,155.9166667,152.25,121.1666667,113.9166667,138.8333333,139.0833333,137.25,142.8333333
Tonga,106858,105254,106122,107383,102603,98727,96708,86484,747,143.0495315,140.9022758,142.064257,143.7523427,137.3534137,132.1646586,129.4618474,115.7751004
Trinidad and Tobago,1531044,1518147,1460177,1410296,1332203,1266518,1127852,988890,5130,298.4491228,295.9350877,284.6348928,274.911501,259.688694,246.8846004,219.854191,192.7660819
Tunisia,12356117,12161723,11557779,10895063,9893316,8440023,6578156,5047404,163610,75.52177129,74.33361653,70.64225292,66.59166921,60.46889554,51.58622945,40.20631991,30.85021698
Turkey,85341241,84135428,79646178,73195345,64113547,54324142,44089069,35540990,783562,108.9144714,107.3755848,101.6462998,93.41359714,81.82319587,69.32973013,56.26749255,45.35823585
Turkmenistan,6430770,6250438,5766431,5267970,4569132,3720278,2862903,2201432,488100,13.17510756,12.80565048,11.81403606,10.79280885,9.36105716,7.621958615,5.865402581,4.510206925
Turks and Caicos Islands,45703,44276,36538,29726,18744,11709,7598,5665,948,48.20991561,46.70464135,38.54219409,31.35654008,19.7721519,12.35126582,8.014767932,5.975738397
Tuvalu,11312,11069,10877,10550,9638,9182,7731,5814,26,435.0769231,425.7307692,418.3461538,405.7692308,370.6923077,353.1538462,297.3461538,223.6153846
Uganda,47249585,44404611,37477356,32341728,24020697,17586630,13284026,10317212,241550,195.6099565,183.8319644,155.1536162,133.8924777,99.44399503,72.80741047,54.99493273,42.71253157
Ukraine,39701739,43909666,44982564,45683020,48879755,51589817,49973920,47279086,603500,65.78581442,72.75835294,74.53614582,75.69680199,80.99379453,85.48436951,82.80682684,78.34148467
United Arab Emirates,9441129,9287289,8916899,8481771,3275333,1900151,1014048,298084,83600,112.9321651,111.0919737,106.6614713,101.4565909,39.1786244,22.72907895,12.12976077,3.565598086
United Kingdom,67508936,67059474,65224364,62760039,58850043,57210442,56326328,55650166,242900,277.9289255,276.0785261,268.5235241,258.3780939,242.280951,235.530844,231.8910169,229.1073117
United States,338289857,335942003,324607776,311182845,282398554,248083732,223140018,200328340,9372610,36.09345284,35.84295122,34.63365871,33.20130092,30.13019362,26.46901258,23.80767129,21.37380516
United States Virgin Islands,99465,100442,102803,106142,108185,100685,96640,63446,347,286.6426513,289.4582133,296.2622478,305.8847262,311.7723343,290.1585014,278.5014409,182.8414986
Uruguay,3422794,3429086,3402818,3352651,3292224,3117012,2953750,2790265,181034,18.90691251,18.94166842,18.7965686,18.51945491,18.18566678,17.21782649,16.31599589,15.41293348
Uzbekistan,34627652,33526656,30949417,28614227,24925554,20579100,15947129,12011361,447400,77.39752347,74.9366473,69.17616674,63.9566987,55.71201162,45.99709432,35.6440076,26.8470295
Vanuatu,326740,311685,276438,245453,192074,150882,118156,87019,12189,26.80613668,25.57100665,22.67930101,20.1372549,15.75797851,12.37853803,9.693658216,7.139141849
Vatican City,510,520,564,596,651,700,733,752,1,510,520,564,596,651,700,733,752
Venezuela,28301696,28490453,30529716,28715022,24427729,19750579,15210443,11355475,916445,30.88204529,31.08801183,33.31320046,31.33305545,26.65487727,21.55129768,16.59722406,12.39078723
Vietnam,98186856,96648685,92191398,87411012,79001142,66912613,52968270,41928849,331212,296.4471577,291.8030899,278.3455853,263.9125756,238.521376,202.0235167,159.9225572,126.5921796
Wallis and Futuna,11572,11655,12182,13142,14723,13454,11315,9377,142,81.49295775,82.07746479,85.78873239,92.54929577,103.6830986,94.74647887,79.68309859,66.03521127
Western Sahara,575986,556048,491824,413296,270375,178529,116775,76371,266000,2.165360902,2.090406015,1.848962406,1.553744361,1.016447368,0.671161654,0.439003759,0.287109023
Yemen,33696614,32284046,28516545,24743946,18628700,13375121,9204938,6843607,527968,63.82321277,61.14773244,54.0118814,46.86637448,35.2837672,25.33320391,17.43465134,12.96216248
Zambia,20017675,18927715,16248230,13792086,9891136,7686401,5720438,4281671,752612,26.59760275,25.14936647,21.58911896,18.32562595,13.1424107,10.21296631,7.600779685,5.689081492
Zimbabwe,16320537,15669666,14154937,12839771,11834676,10113893,7049926,5202918,390757,41.766461,40.1007941,36.22439777,32.85871014,30.28653613,25.88281976,18.0417139,13.31497069
